City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susuman,62.7833,148.1667,-36.12,93,100,0.89,RU,1708267974
1,mil'kovo,55.6078,37.7956,-1.73,80,100,4.92,RU,1708267975
2,gargalianoi,37.0667,21.6333,15.75,69,0,4.36,GR,1708267976
3,akureyri,65.6835,-18.0878,5.96,70,20,5.66,IS,1708267977
4,esperanza,19.5847,-70.9849,26.32,44,4,1.7,DO,1708267978
5,hauterive,46.0901,3.4459,13.42,57,100,2.62,FR,1708267980
6,mayenne,48.3333,-0.6667,12.69,97,100,5.07,FR,1708267980
7,port-aux-francais,-49.35,70.2167,4.87,78,50,17.84,TF,1708267981
8,brisas de zicatela,15.8369,-97.0419,26.57,65,64,2.2,MX,1708267982
9,klyuchi,52.2667,79.1667,-24.04,99,67,2.64,RU,1708267984
10,chilca,-12.5211,-76.7372,24.43,83,50,2.83,PE,1708267984
11,tamanrasset,22.785,5.5228,24.95,11,0,7.72,DZ,1708267985
12,talnakh,69.4865,88.3972,-24.33,98,100,5.78,RU,1708267986
13,arraial do cabo,-22.9661,-42.0278,29.98,70,40,6.17,BR,1708267988
14,edinburgh of the seven seas,-37.0676,-12.3116,15.38,68,19,9.11,SH,1708267989
15,jamestown,42.097,-79.2353,-6.23,72,99,4.02,US,1708267990
16,hamilton,39.1834,-84.5333,-2.98,64,8,3.13,US,1708267864
17,sao felix do xingu,-6.6447,-51.995,26.87,93,93,0.54,BR,1708267992
18,margaret river,-33.95,115.0667,23.52,60,100,5.71,AU,1708267791
19,invercargill,-46.4,168.35,17.79,63,94,6.71,NZ,1708267994
20,cabo san lucas,22.8909,-109.9124,17.64,56,0,2.84,MX,1708267995
21,isafjordur,66.0755,-23.124,3.02,87,40,2.06,IS,1708267996
22,grytviken,-54.2811,-36.5092,5.71,98,98,6.97,GS,1708267841
23,ciudad lazaro cardenas,17.9583,-102.2,23.4,68,0,0.99,MX,1708267998
24,queenstown,-31.8976,26.8753,27.31,32,0,9.13,ZA,1708268000
25,serdar,38.9764,56.2757,-1.96,94,100,1.1,TM,1708268001
26,bilibino,68.0546,166.4372,-24.64,86,100,0.99,RU,1708268002
27,whitehorse,60.7161,-135.0538,-12.57,85,75,0.0,CA,1708268003
28,albany,42.6001,-73.9662,-2.58,58,94,0.89,US,1708268004
29,polyarnyy,69.1989,33.4478,-5.58,88,96,10.49,RU,1708268005
30,san luis de la loma,17.2706,-100.8939,24.66,59,0,1.06,MX,1708268006
31,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,83,0,6.26,RU,1708267763
32,yellowknife,62.456,-114.3525,-23.66,83,20,4.12,CA,1708268008
33,abepura,-2.6333,140.5833,25.45,94,20,2.06,ID,1708268009
34,beyneu,45.3167,55.2,-4.86,35,72,6.27,KZ,1708268010
35,ambovombe,-25.1667,46.0833,24.36,78,62,9.21,MG,1708268011
36,puerto natales,-51.7236,-72.4875,18.25,48,75,8.23,CL,1708268012
37,hawaiian paradise park,19.5933,-154.9731,18.91,86,26,0.45,US,1708268013
38,kodiak,57.79,-152.4072,3.94,99,100,2.58,US,1708268015
39,at taraf,25.3628,49.725,22.3,25,0,5.93,SA,1708268016
40,flying fish cove,-10.4217,105.6791,27.82,83,75,3.09,CX,1708268017
41,ushuaia,-54.8,-68.3,11.81,58,75,5.14,AR,1708268018
42,kidal,18.4411,1.4078,31.86,6,49,1.24,ML,1708268019
43,kingston,17.997,-76.7936,30.69,66,20,6.17,JM,1708267894
44,ust'-ilimsk,58.0006,102.6619,-29.32,98,98,0.45,RU,1708268021
45,verkhnevilyuysk,63.4453,120.3167,-30.15,95,100,3.07,RU,1708268022
46,urengoy,65.9667,78.3667,-21.41,83,100,8.54,RU,1708268022
47,fortuna,40.5982,-124.1573,10.19,91,20,8.75,US,1708267454
48,andergrove,-21.0833,149.1833,23.69,78,42,6.34,AU,1708267853
49,nanzhang chengguanzhen,31.7839,111.8275,14.15,52,46,2.54,CN,1708268025
50,bredasdorp,-34.5322,20.0403,22.87,50,0,8.11,ZA,1708268026
51,saudarkrokur,65.7461,-19.6394,3.72,86,33,4.32,IS,1708268028
52,ash shatrah,31.4117,46.1742,19.28,34,1,3.04,IQ,1708268028
53,zemio,5.0314,25.1361,37.19,14,100,2.03,CF,1708268029
54,aasiaat,68.7098,-52.8699,-13.91,93,100,8.84,GL,1708268030
55,onega,63.9061,38.1404,-3.49,85,100,7.4,RU,1708268031
56,bima,-8.4667,118.7167,25.58,94,100,0.51,ID,1708268034
57,iqaluit,63.7506,-68.5145,-33.15,62,20,11.83,CA,1708268035
58,port lincoln,-34.7333,135.8667,18.83,76,1,6.29,AU,1708268036
59,sena madureira,-9.0656,-68.6569,31.3,61,100,1.79,BR,1708268037
60,pangody,65.85,74.4859,-18.92,87,100,10.89,RU,1708268037
61,badger,64.8,-147.5333,-17.86,76,40,0.0,US,1708268038
62,cidreira,-30.1811,-50.2056,26.0,78,1,6.45,BR,1708268039
63,waitangi,-43.9535,-176.5597,16.57,96,3,0.89,NZ,1708268040
64,ilulissat,69.2167,-51.1,-4.58,82,94,5.42,GL,1708268041
65,bethel,41.3712,-73.414,-0.55,55,0,7.2,US,1708267784
66,lloydminster,53.2835,-110.0016,-13.88,85,0,1.54,CA,1708268043
67,aykhal,66.0,111.5,-25.12,98,100,2.53,RU,1708268045
68,mount isa,-20.7333,139.5,24.87,94,100,1.03,AU,1708268046
69,aripuana,-9.1667,-60.6333,25.93,86,100,1.44,BR,1708268047
70,greenville,35.6127,-77.3663,3.01,50,0,2.06,US,1708268048
71,damghan,36.1683,54.348,4.39,48,85,5.44,IR,1708268049
72,dalhart,36.0595,-102.5133,0.6,52,0,4.29,US,1708268050
73,west island,-12.1568,96.8225,27.99,78,55,2.57,CC,1708268051
74,okhotsk,59.3833,143.3,-26.19,94,79,2.45,RU,1708268052
75,wailua homesteads,22.0669,-159.378,19.3,74,61,1.79,US,1708268053
76,san julian,21.0167,-102.1667,9.22,58,0,1.38,MX,1708268054
77,dryden,49.7833,-92.7503,-9.84,79,100,3.09,CA,1708268055
78,papatowai,-46.5619,169.4708,17.23,53,100,8.66,NZ,1708268056
79,adamstown,-25.066,-130.1015,24.2,77,100,3.87,PN,1708268057
80,bhamo,24.2667,97.2333,18.5,45,0,0.77,MM,1708268058
81,cole harbour,44.6724,-63.4751,-6.13,64,86,5.36,CA,1708268060
82,fort bragg,35.139,-79.006,3.79,47,0,1.34,US,1708268061
83,khanty-mansiysk,61.0042,69.0019,-18.83,65,0,5.0,RU,1708268062
84,vila velha,-20.3297,-40.2925,26.97,88,75,3.13,BR,1708268063
85,lihue,21.9789,-159.3672,19.64,74,44,6.77,US,1708268064
86,odense,55.3959,10.3883,4.9,97,100,7.63,DK,1708268065
87,arno,60.1167,18.6333,-0.68,80,100,3.17,SE,1708268066
88,beloyarskiy,63.7119,66.6722,-14.46,81,100,6.23,RU,1708268067
89,correntina,-13.3433,-44.6367,31.31,52,68,1.31,BR,1708268068
90,tura,25.5198,90.2201,16.52,36,0,1.11,IN,1708268069
91,udachny,66.4167,112.4,-26.42,75,100,4.86,RU,1708268070
92,sitka,57.0531,-135.33,5.72,91,100,2.31,US,1708268071
93,enewetak,11.3474,162.3373,26.41,75,83,6.49,MH,1708268072
94,atafu village,-8.5421,-172.5159,28.61,79,100,5.45,TK,1708268073
95,xinzhou,38.4092,112.7333,1.75,43,88,5.8,CN,1708267814
96,cill airne,52.05,-9.5167,13.03,76,40,6.17,IE,1708268075
97,sarkand,45.41,79.9186,-20.09,85,84,2.12,KZ,1708268076
98,namibe,-15.1961,12.1522,26.76,75,40,5.75,AO,1708268077
99,dehui,44.5333,125.7,-7.2,90,100,5.12,CN,1708268078
100,rioblanco,3.5308,-75.6806,24.82,58,83,2.32,CO,1708268079
101,alofi,-19.0595,-169.9187,25.94,73,94,5.14,NU,1708268080
102,magdagachi,53.45,125.8,-30.13,89,7,2.7,RU,1708268081
103,ozery,54.86,38.5506,-2.45,97,94,6.71,RU,1708268082
104,puerto real,36.5282,-6.1901,21.09,56,0,3.09,ES,1708268083
105,linhares,-19.3911,-40.0722,26.97,84,100,2.66,BR,1708268084
106,tazovsky,67.4667,78.7,-19.34,88,100,9.83,RU,1708268085
107,stanley,54.868,-1.6985,12.1,74,75,6.69,GB,1708268086
108,port alfred,-33.5906,26.891,22.88,81,71,1.79,ZA,1708268042
109,port elizabeth,-33.918,25.5701,25.16,62,40,5.66,ZA,1708268087
110,la'ie,21.6477,-157.9253,20.9,61,37,4.02,US,1708268090
111,brookings,44.3114,-96.7984,-5.9,81,0,2.57,US,1708268091
112,ilam,26.9167,87.9167,12.78,50,25,1.76,NP,1708268092
113,erdenet,49.0333,104.0833,-32.74,99,36,0.96,MN,1708267981
114,mitu,1.1983,-70.1733,27.84,78,95,1.02,CO,1708268094
115,constantia,44.1833,28.65,7.61,78,67,3.64,RO,1708267894
116,troitsko-pechorsk,62.7084,56.1964,-10.73,93,100,6.71,RU,1708268097
117,bom jesus,-9.0744,-44.3586,31.47,60,75,1.64,BR,1708268097
118,colonia,50.9333,6.95,10.36,87,40,5.14,DE,1708268099
119,newport,51.5877,-2.9984,15.53,86,39,5.17,GB,1708268099
120,sao jose de ribamar,-2.5619,-44.0542,28.21,82,65,5.67,BR,1708268100
121,hami,42.8,93.45,-8.45,22,67,1.1,CN,1708268101
122,corowa,-36.0333,146.3833,20.37,42,100,2.27,AU,1708268102
123,jaru,-10.4389,-62.4664,28.12,76,100,2.96,BR,1708268104
124,utiel,39.5667,-1.2,18.01,36,62,3.26,ES,1708267599
125,magadan,59.5667,150.8,-21.04,81,100,1.51,RU,1708268106
126,opuwo,-18.0607,13.84,33.94,18,81,4.54,NA,1708268107
