City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,8.81,61,40,4.63,AR,1708309900
1,port-aux-francais,-49.35,70.2167,4.69,79,79,7.99,TF,1708309944
2,ola,59.5833,151.2833,-20.48,65,99,2.23,RU,1708309946
3,san fernando de apure,7.8878,-67.4724,28.6,42,63,2.25,VE,1708309947
4,margaret river,-33.95,115.0667,27.36,42,100,4.0,AU,1708309947
5,sao felix do xingu,-6.6447,-51.995,23.39,98,100,0.58,BR,1708309948
6,satsuma,30.8532,-88.0561,9.01,59,43,1.9,US,1708309949
7,hawaiian paradise park,19.5933,-154.9731,21.04,80,100,4.63,US,1708309951
8,bengkulu,-3.8004,102.2655,28.31,74,91,1.52,ID,1708309601
9,port mathurin,-19.6833,63.4167,26.53,69,54,5.81,MU,1708309952
10,awjilah,29.1081,21.2869,11.97,57,0,3.2,LY,1708309955
11,tiksi,71.6872,128.8694,-36.65,96,48,3.26,RU,1708309956
12,stanley,54.868,-1.6985,9.04,85,20,3.09,GB,1708309957
13,aberdeen,57.1437,-2.0981,7.27,81,96,2.06,GB,1708309960
14,west island,-12.1568,96.8225,30.99,66,15,3.09,CC,1708309962
15,malango,-2.9627,119.9001,28.6,63,41,1.45,ID,1708309963
16,gadzhiyevo,69.2551,33.3362,-6.15,88,88,9.69,RU,1708309964
17,college,64.8569,-147.8028,-7.74,64,75,0.0,US,1708309965
18,adamstown,-25.066,-130.1015,24.92,76,100,3.28,PN,1708309939
19,nikolayevsk-on-amure,53.1406,140.73,-18.04,91,100,2.31,RU,1708309703
20,puerto baquerizo moreno,-0.9,-89.6,26.4,86,100,4.13,EC,1708309968
21,kalulushi,-12.8378,28.0919,17.75,97,96,1.1,ZM,1708309969
22,portland,45.5234,-122.6762,8.58,82,75,3.6,US,1708309970
23,tonning,54.3167,8.95,6.11,94,100,8.32,DE,1708309972
24,lobujya,27.95,86.8167,-8.71,45,46,1.67,NP,1708309973
25,fort mcmurray,56.7268,-111.381,-7.27,62,0,3.6,CA,1708309974
26,waitangi,-43.9535,-176.5597,19.9,85,11,12.14,NZ,1708309975
27,edinburgh of the seven seas,-37.0676,-12.3116,14.65,59,86,9.08,SH,1708309976
28,kruszwica,52.6756,18.3313,5.62,74,100,5.79,PL,1708309977
29,newman,37.3138,-121.0208,18.13,77,93,5.81,US,1708309978
30,tejen,37.3834,60.5054,-1.13,74,98,4.53,TM,1708309979
31,santa maria de cayon,43.3079,-3.8756,13.47,100,100,2.57,ES,1708309981
32,bethel,41.3712,-73.414,0.92,62,7,4.97,US,1708309982
33,roccella ionica,38.322,16.4009,12.1,80,65,4.34,IT,1708309983
34,papatowai,-46.5619,169.4708,12.78,72,15,10.53,NZ,1708309986
35,hadibu,12.65,54.0333,23.0,64,6,3.26,YE,1708309987
36,badger,64.8,-147.5333,-7.79,70,75,0.0,US,1708309983
37,ribeira grande,38.5167,-28.7,17.65,89,5,4.02,PT,1708309989
